Order_Date,Ship_Mode,Segment,City,State,Country,Orders_Market,Orders_Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Person,People_Region,Order_ID,Market
2014-10-31T00:00:00.000Z,Standard Class,Home Office,HAMAMATSU,Shizuoka,JAPAN,APAC,North Asia,Office Supplies,Appliances,"Cuisinart Stove, Red",4306.32,8,0.0,1722.48,314.15,Medium,Shirley Daniels,North Asia,IN-2014-10979,APAC
2013-11-15T00:00:00.000Z,Standard Class,Consumer,METEPEC,México,MEXICO,LATAM,North,Technology,Phones,"Cisco Smart Phone, Full Size",3045.84,7,0.0,1035.58,309.75,High,Jack Lebron,North,MX-2013-147844,LATAM
2013-11-04T00:00:00.000Z,Second Class,Consumer,ROME,Lazio,ITALY,EU,South,Office Supplies,Appliances,"Hoover Microwave, Silver",1856.34,6,0.0,909.54,305.25,Critical,Chuck Magee,South,ES-2013-1525878,EU
2014-12-20T00:00:00.000Z,First Class,Consumer,LAFAYETTE,Louisiana,UNITED STATES,US,South,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1665.62,2,0.0,33.3124,287.77,High,Chuck Magee,South,CA-2014-158729,United States
2014-04-16T00:00:00.000Z,Same Day,Corporate,DUDLEY,England,UNITED KINGDOM,EU,North,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",996.3,5,0.0,119.55,282.58,Critical,Jack Lebron,North,ES-2014-1015287,EU
2014-11-17T00:00:00.000Z,Same Day,Corporate,SAN FRANCISCO,California,UNITED STATES,US,West,Technology,Machines,Bady BDG101FRU Card Printer,1919.976,3,0.2,215.9973,282.43,High,Matt Collister,West,CA-2014-136308,United States
2013-08-01T00:00:00.000Z,First Class,Corporate,RIS-ORANGIS,Ile-de-France,FRANCE,EU,Central,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",1850.445,5,0.1,184.995,281.82,High,Anna Andreadi,Central,ES-2013-2003988,EU
2014-02-11T00:00:00.000Z,Standard Class,Corporate,OVIEDO,Asturias,SPAIN,EU,South,Office Supplies,Appliances,"Cuisinart Refrigerator, Black",2477.55,5,0.0,1040.55,273.88,High,Chuck Magee,South,ES-2014-4472745,EU
2014-12-13T00:00:00.000Z,Standard Class,Consumer,UBE,Yamaguchi,JAPAN,APAC,North Asia,Office Supplies,Appliances,"Hamilton Beach Stove, White",3242.88,6,0.0,421.56,271.59,Medium,Shirley Daniels,North Asia,IN-2014-58460,APAC
2013-04-05T00:00:00.000Z,First Class,Consumer,CLAMART,Ile-de-France,FRANCE,EU,Central,Technology,Phones,"Apple Smart Phone, Cordless",1622.565,3,0.15,133.605,268.19,Medium,Anna Andreadi,Central,ES-2013-1706935,EU
2013-06-01T00:00:00.000Z,Standard Class,Consumer,SANTO DOMINGO,Santo Domingo,DOMINICAN REPUBLIC,LATAM,Caribbean,Technology,Phones,"Samsung Smart Phone, VoIP",2375.296,7,0.2,-207.844,267.78,Low,Giulietta Dortch,Caribbean,MX-2013-101077,LATAM
2013-12-19T00:00:00.000Z,Second Class,Home Office,BURGOS,Castile and León,SPAIN,EU,South,Office Supplies,Storage,"Tenex File Cart, Single Width",845.208,7,0.1,-9.49200000000002,265.85,Critical,Chuck Magee,South,IT-2013-4354136,EU
2014-05-24T00:00:00.000Z,Second Class,Corporate,BAOTOU,Inner Mongolia,CHINA,APAC,North Asia,Furniture,Bookcases,"Dania Library with Doors, Metal",1447.44,4,0.0,43.32,252.36,Medium,Shirley Daniels,North Asia,IN-2014-54708,APAC
2014-02-18T00:00:00.000Z,First Class,Home Office,TROY,Ohio,UNITED STATES,US,East,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,899.43,5,0.3,-12.8490000000002,243.89,High,Kelly Williams,East,CA-2014-109085,United States
2014-12-03T00:00:00.000Z,First Class,Consumer,LOWELL,Massachusetts,UNITED STATES,US,East,Technology,Phones,GE 30524EE4,979.95,5,0.0,284.1855,240.88,Critical,Kelly Williams,East,CA-2014-167395,United States
2013-06-27T00:00:00.000Z,Same Day,Consumer,MADRID,Madrid,SPAIN,EU,South,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",2476.08,6,0.0,1015.02,234.79,High,Chuck Magee,South,ES-2013-3061639,EU
2013-10-16T00:00:00.000Z,First Class,Consumer,VILLIERS-LE-BEL,Ile-de-France,FRANCE,EU,Central,Technology,Machines,"StarTech Printer, Wireless",1306.467,6,0.15,107.487,233.74,High,Anna Andreadi,Central,ES-2013-4897406,EU
2013-12-12T00:00:00.000Z,Same Day,Consumer,ANAHEIM,California,UNITED STATES,US,West,Furniture,Tables,Hon Non-Folding Utility Tables,892.136,7,0.2,111.517,226.26,Critical,Matt Collister,West,CA-2013-165330,United States
2014-09-04T00:00:00.000Z,Standard Class,Consumer,PESCARA,Abruzzi,ITALY,EU,South,Furniture,Bookcases,"Ikea Library with Doors, Mobile",2927.28,8,0.0,146.16,223.41,Medium,Chuck Magee,South,ES-2014-2411166,EU
2014-09-02T00:00:00.000Z,Second Class,Consumer,PARIS,Ile-de-France,FRANCE,EU,Central,Office Supplies,Storage,"Eldon Lockers, Blue",1068.714,6,0.1,-0.126000000000005,220.97,High,Anna Andreadi,Central,IT-2014-3941500,EU
2014-09-24T00:00:00.000Z,Second Class,Corporate,GAP,Provence-Alpes-Côte d'Azur,FRANCE,EU,Central,Office Supplies,Appliances,"Breville Microwave, Black",1355.13,5,0.1,-60.27,218.75,High,Anna Andreadi,Central,IT-2014-5465876,EU
2014-10-09T00:00:00.000Z,Standard Class,Consumer,BEIJING,Beijing,CHINA,APAC,North Asia,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",2906.4,7,0.0,1220.52,216.07,High,Shirley Daniels,North Asia,IN-2014-66573,APAC
2014-09-29T00:00:00.000Z,Standard Class,Corporate,MUNICH,Bavaria,GERMANY,EU,Central,Technology,Machines,"Epson Printer, White",2088.24,8,0.0,83.52,210.59,Low,Anna Andreadi,Central,ES-2014-2299862,EU
2014-04-16T00:00:00.000Z,Same Day,Corporate,DUDLEY,England,UNITED KINGDOM,EU,North,Technology,Copiers,"Hewlett Fax and Copier, Color",777.24,4,0.0,170.88,205.01,Critical,Jack Lebron,North,ES-2014-1015287,EU
2014-11-05T00:00:00.000Z,Second Class,Consumer,ZHANJIANG,Guangdong,CHINA,APAC,North Asia,Technology,Accessories,"Logitech Memory Card, Bluetooth",723.66,7,0.0,101.22,200.07,High,Shirley Daniels,North Asia,IN-2014-46595,APAC
2014-08-29T00:00:00.000Z,Same Day,Consumer,MEJICANOS,San Salvador,EL SALVADOR,LATAM,Central,Office Supplies,Appliances,"Cuisinart Stove, Black",1075.44,3,0.0,182.82,199.79,High,Anna Andreadi,Central,MX-2014-104122,LATAM
2013-10-07T00:00:00.000Z,First Class,Home Office,PUEBLO,Colorado,UNITED STATES,US,West,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,6,0.7,-938.28,199.5,High,Matt Collister,West,US-2013-157490,United States
2014-10-16T00:00:00.000Z,First Class,Corporate,LOS ANGELES,California,UNITED STATES,US,West,Furniture,Tables,Bush Advantage Collection Round Conference Table,510.24,3,0.2,6.37799999999996,195.43,Critical,Matt Collister,West,CA-2014-113670,United States
2014-07-22T00:00:00.000Z,First Class,Home Office,JIXI,Heilongjiang,CHINA,APAC,North Asia,Office Supplies,Storage,"Rogers Lockers, Single Width",1269.9,6,0.0,558.72,194.61,Critical,Shirley Daniels,North Asia,IN-2014-19911,APAC
2013-06-04T00:00:00.000Z,Standard Class,Home Office,CLICHY-SOUS-BOIS,Ile-de-France,FRANCE,EU,Central,Technology,Copiers,"HP Wireless Fax, Digital",2752.8525,9,0.15,841.7925,190.51,Medium,Anna Andreadi,Central,ES-2013-1925248,EU
2013-08-16T00:00:00.000Z,Second Class,Corporate,DAQING,Heilongjiang,CHINA,APAC,North Asia,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1378.17,3,0.0,206.64,189.75,High,Shirley Daniels,North Asia,IN-2013-35087,APAC
2013-06-13T00:00:00.000Z,Second Class,Home Office,CHICAGO,Illinois,UNITED STATES,US,Central,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,3,0.3,43.1991,189.34,High,Anna Andreadi,Central,CA-2013-147375,United States
2013-07-03T00:00:00.000Z,First Class,Corporate,VIENNA,Vienna,AUSTRIA,EU,Central,Office Supplies,Appliances,"Hoover Microwave, White",2147.46,7,0.0,579.81,189.33,Critical,Anna Andreadi,Central,ES-2013-4184078,EU
2013-05-17T00:00:00.000Z,First Class,Corporate,ROCKHAMPTON,Queensland,AUSTRALIA,APAC,Oceania,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Traditional",759.78,5,0.1,75.93,189.08,High,Anthony Jacobs,Oceania,IN-2013-18497,APAC
2014-09-04T00:00:00.000Z,Standard Class,Home Office,NOTTINGHAM,England,UNITED KINGDOM,EU,North,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",2019.6,12,0.0,706.68,184.2,Medium,Jack Lebron,North,ES-2014-5385720,EU
2014-11-20T00:00:00.000Z,Second Class,Consumer,BILBAO,Basque Country,SPAIN,EU,South,Technology,Copiers,"Sharp Fax Machine, High-Speed",2056.95,7,0.0,431.76,183.86,Medium,Chuck Magee,South,ES-2014-5891109,EU
2014-11-19T00:00:00.000Z,Standard Class,Home Office,HENGYANG,Hunan,CHINA,APAC,North Asia,Furniture,Bookcases,"Bush Classic Bookcase, Metal",2060.7,5,0.0,886.05,179.5,Medium,Shirley Daniels,North Asia,IN-2014-51607,APAC
2014-09-21T00:00:00.000Z,Standard Class,Consumer,NEW YORK CITY,New York,UNITED STATES,US,East,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2888.127,11,0.1,609.7157,177.06,Medium,Kelly Williams,East,CA-2014-100111,United States
2014-09-27T00:00:00.000Z,First Class,Home Office,DUBLIN,Dublin,IRELAND,EU,North,Office Supplies,Appliances,"Hoover Microwave, White",766.95,5,0.5,-352.8,175.41,Critical,Jack Lebron,North,IT-2014-4273010,EU
2014-09-21T00:00:00.000Z,Standard Class,Consumer,NEW YORK CITY,New York,UNITED STATES,US,East,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,2254.41,5,0.1,375.735,175.2,Medium,Kelly Williams,East,CA-2014-100111,United States
2014-08-18T00:00:00.000Z,Standard Class,Corporate,BRENTWOOD,California,UNITED STATES,US,West,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,2518.29,9,0.0,654.7554,173.07,Medium,Matt Collister,West,CA-2014-166093,United States
2013-11-28T00:00:00.000Z,Standard Class,Corporate,CANCÚN,Quintana Roo,MEXICO,LATAM,North,Technology,Copiers,"Sharp Fax and Copier, Color",791.93296,7,0.002,236.41296,172.69,Low,Jack Lebron,North,MX-2013-128440,LATAM
2014-03-17T00:00:00.000Z,Second Class,Corporate,DEPOK,Yogyakarta,INDONESIA,APAC,Southeast Asia,Office Supplies,Appliances,"Hamilton Beach Microwave, White",2096.4555,9,0.17,-429.3945,172.27,Medium,Alejandro Ballentine,Southeast Asia,ID-2014-17475,APAC
2014-12-11T00:00:00.000Z,Same Day,Consumer,SHEFFIELD,England,UNITED KINGDOM,EU,North,Technology,Copiers,"Hewlett Wireless Fax, Color",1144.89,6,0.5,-686.97,170.11,High,Jack Lebron,North,ES-2014-5275437,EU
2014-03-04T00:00:00.000Z,Standard Class,Corporate,INNSBRUCK,Tyrol,AUSTRIA,EU,Central,Technology,Copiers,"Hewlett Copy Machine, Color",1060.44,4,0.0,360.48,169.2,High,Anna Andreadi,Central,ES-2014-1325616,EU
2013-12-10T00:00:00.000Z,First Class,Corporate,SEVILLE,Andalusía,SPAIN,EU,South,Technology,Copiers,"HP Personal Copier, Digital",1115.37,9,0.0,178.2,169.12,Medium,Chuck Magee,South,ES-2013-3425110,EU
2013-12-14T00:00:00.000Z,Second Class,Home Office,LEEDS,England,UNITED KINGDOM,EU,North,Furniture,Chairs,"Novimex Swivel Stool, Black",810.15,5,0.0,24.3,167.11,Critical,Jack Lebron,North,ES-2013-2048769,EU
2014-02-25T00:00:00.000Z,Second Class,Corporate,MARSEILLE,Provence-Alpes-Côte d'Azur,FRANCE,EU,Central,Technology,Machines,"Okidata Receipt Printer, Red",918.459,9,0.15,21.519,166.56,High,Anna Andreadi,Central,ES-2014-1178010,EU
2013-01-18T00:00:00.000Z,Same Day,Corporate,CHIMALTENANGO,Chimaltenango,GUATEMALA,LATAM,Central,Office Supplies,Appliances,"Breville Stove, White",1119.36,3,0.0,22.38,164.45,Medium,Anna Andreadi,Central,MX-2013-135916,LATAM
2013-02-06T00:00:00.000Z,Second Class,Consumer,NANTES,Pays de la Loire,FRANCE,EU,Central,Technology,Copiers,"Brother Wireless Fax, Digital",965.0475,3,0.15,-68.1525,163.74,High,Anna Andreadi,Central,ES-2013-3570218,EU
2013-08-16T00:00:00.000Z,Second Class,Corporate,DAQING,Heilongjiang,CHINA,APAC,North Asia,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",1358.28,7,0.0,203.7,163.42,High,Shirley Daniels,North Asia,IN-2013-35087,APAC
2013-10-23T00:00:00.000Z,Standard Class,Consumer,DONGGUAN,Guangdong,CHINA,APAC,North Asia,Furniture,Tables,"Chromcraft Round Table, with Bottom Storage",1961.82,6,0.3,420.3,160.54,Medium,Shirley Daniels,North Asia,IN-2013-69128,APAC
2013-02-14T00:00:00.000Z,Standard Class,Corporate,NANTERRE,Ile-de-France,FRANCE,EU,Central,Technology,Phones,"Apple Smart Phone, Full Size",1083.75,2,0.15,165.75,158.99,High,Anna Andreadi,Central,ES-2013-4116050,EU
2014-01-17T00:00:00.000Z,Standard Class,Home Office,DHAKA,Dhaka,BANGLADESH,APAC,Central Asia,Technology,Copiers,"Sharp Wireless Fax, High-Speed",1770.6,5,0.0,495.75,158.23,Medium,Nora Preis,Central Asia,IN-2014-77941,APAC
2014-06-19T00:00:00.000Z,Same Day,Corporate,KURE,Hiroshima,JAPAN,APAC,North Asia,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",1168.65,7,0.0,292.11,157.58,Medium,Shirley Daniels,North Asia,IN-2014-62366,APAC
2013-12-14T00:00:00.000Z,Second Class,Home Office,LEEDS,England,UNITED KINGDOM,EU,North,Technology,Accessories,"Belkin Keyboard, Erganomic",571.83,7,0.0,34.23,156.84,Critical,Jack Lebron,North,ES-2013-2048769,EU
2013-10-01T00:00:00.000Z,First Class,Home Office,ANSHAN,Liaoning,CHINA,APAC,North Asia,Furniture,Chairs,"SAFCO Rocking Chair, Red",404.73,3,0.0,117.36,154.0,Critical,Shirley Daniels,North Asia,IN-2013-65068,APAC
2014-02-12T00:00:00.000Z,Second Class,Corporate,SEATTLE,Washington,UNITED STATES,US,West,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",963.136,4,0.2,108.3528,152.43,High,Matt Collister,West,CA-2014-131828,United States
2013-04-23T00:00:00.000Z,Standard Class,Home Office,PHOENIX,Arizona,UNITED STATES,US,West,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,6,0.5,-814.4832,152.33,Low,Matt Collister,West,CA-2013-109869,United States
2013-09-03T00:00:00.000Z,Standard Class,Consumer,CHARLOTTE,North Carolina,UNITED STATES,US,South,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,1012.68,3,0.2,303.804,152.2,High,Chuck Magee,South,CA-2013-106950,United States
2013-10-17T00:00:00.000Z,Second Class,Corporate,SHIHEZI,Xinjiang Uygur,CHINA,APAC,North Asia,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",1115.37,9,0.0,267.57,149.4,Medium,Shirley Daniels,North Asia,IN-2013-21003,APAC
2014-12-03T00:00:00.000Z,First Class,Consumer,LOWELL,Massachusetts,UNITED STATES,US,East,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,286.86,7,0.0,80.3208,148.89,Critical,Kelly Williams,East,CA-2014-167395,United States
2014-09-27T00:00:00.000Z,First Class,Home Office,DUBLIN,Dublin,IRELAND,EU,North,Technology,Copiers,"Sharp Fax and Copier, High-Speed",583.8,7,0.5,-443.73,145.43,Critical,Jack Lebron,North,IT-2014-4273010,EU
2014-06-02T00:00:00.000Z,First Class,Consumer,TIJUANA,Baja California,MEXICO,LATAM,North,Furniture,Tables,"Barricks Conference Table, with Bottom Storage",967.552,2,0.2,-205.608,144.67,High,Jack Lebron,North,MX-2014-156615,LATAM
2013-01-07T00:00:00.000Z,Standard Class,Corporate,LONDON,England,UNITED KINGDOM,EU,North,Office Supplies,Storage,"Smead Lockers, Blue",1607.202,9,0.1,124.902,144.3,Medium,Jack Lebron,North,IT-2013-1498487,EU
2014-11-16T00:00:00.000Z,First Class,Consumer,BERGEN,Hordaland,NORWAY,EU,North,Furniture,Bookcases,"Dania Corner Shelving, Mobile",872.13,7,0.0,252.84,143.63,High,Jack Lebron,North,ES-2014-4616921,EU
2014-09-10T00:00:00.000Z,Standard Class,Corporate,PHILADELPHIA,Pennsylvania,UNITED STATES,US,East,Technology,Phones,Samsung Galaxy Note 2,1931.958,7,0.4,-386.3916,142.76,Medium,Kelly Williams,East,US-2014-118087,United States
2014-07-18T00:00:00.000Z,Second Class,Corporate,APPLE VALLEY,California,UNITED STATES,US,West,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1194.165,5,0.15,210.735,140.75,High,Matt Collister,West,CA-2014-142342,United States
2014-09-12T00:00:00.000Z,First Class,Home Office,MIANYANG,Sichuan,CHINA,APAC,North Asia,Office Supplies,Storage,"Rogers Lockers, Single Width",634.95,3,0.0,279.36,140.34,Critical,Shirley Daniels,North Asia,IN-2014-41814,APAC
2014-09-12T00:00:00.000Z,First Class,Home Office,MIANYANG,Sichuan,CHINA,APAC,North Asia,Technology,Phones,"Apple Headset, Full Size",447.3,6,0.0,174.42,140.11,Critical,Shirley Daniels,North Asia,IN-2014-41814,APAC
2014-03-29T00:00:00.000Z,First Class,Corporate,FAIRFIELD,California,UNITED STATES,US,West,Office Supplies,Storage,SAFCO Boltless Steel Shelving,795.48,7,0.0,7.95479999999996,139.58,High,Matt Collister,West,US-2014-147886,United States
2014-07-22T00:00:00.000Z,First Class,Home Office,JIXI,Heilongjiang,CHINA,APAC,North Asia,Technology,Copiers,"Brother Fax and Copier, Color",578.79,3,0.0,127.26,139.49,Critical,Shirley Daniels,North Asia,IN-2014-19911,APAC
2014-07-05T00:00:00.000Z,Standard Class,Consumer,VILLA FRONTERA,Coahuila,MEXICO,LATAM,North,Furniture,Bookcases,"Safco Classic Bookcase, Metal",1166.96,5,0.2,-58.44,138.14,Medium,Jack Lebron,North,MX-2014-102246,LATAM
2014-08-07T00:00:00.000Z,Standard Class,Consumer,MORELIA,Michoacán,MEXICO,LATAM,North,Technology,Copiers,"Canon Fax Machine, Digital",1692.76768,8,0.002,166.20768,137.68,Medium,Jack Lebron,North,MX-2014-139591,LATAM
2014-09-25T00:00:00.000Z,Second Class,Home Office,ANANTAPUR,Andhra Pradesh,INDIA,APAC,Central Asia,Office Supplies,Storage,"Smead Lockers, Industrial",596.7,3,0.0,83.52,136.27,Critical,Nora Preis,Central Asia,IN-2014-44012,APAC
2013-06-03T00:00:00.000Z,Second Class,Consumer,SUZHOU,Gansu,CHINA,APAC,North Asia,Technology,Copiers,"Brother Copy Machine, Laser",785.79,3,0.0,369.27,131.73,Medium,Shirley Daniels,North Asia,IN-2013-49318,APAC
2014-08-29T00:00:00.000Z,Standard Class,Corporate,SANTA MARTA,Magdalena,COLOMBIA,LATAM,South,Furniture,Tables,"Chromcraft Conference Table, Rectangular",2320.64,5,0.2,-203.06,130.77,Medium,Chuck Magee,South,MX-2014-154480,LATAM
2013-12-19T00:00:00.000Z,Second Class,Home Office,BURGOS,Castile and León,SPAIN,EU,South,Office Supplies,Storage,"Tenex File Cart, Blue",719.28,6,0.1,63.9,130.64,Critical,Chuck Magee,South,IT-2013-4354136,EU
2014-11-27T00:00:00.000Z,First Class,Consumer,UTRECHT,Utrecht,NETHERLANDS,EU,Central,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",616.815,3,0.5,-382.455,130.36,High,Anna Andreadi,Central,ES-2014-4535588,EU
2014-11-21T00:00:00.000Z,Standard Class,Consumer,ZUNYI,Guizhou,CHINA,APAC,North Asia,Technology,Accessories,"Logitech Router, USB",990.12,4,0.0,356.4,129.54,High,Shirley Daniels,North Asia,IN-2014-17615,APAC
2014-07-22T00:00:00.000Z,First Class,Home Office,JIXI,Heilongjiang,CHINA,APAC,North Asia,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",737.64,6,0.0,125.28,129.31,Critical,Shirley Daniels,North Asia,IN-2014-19911,APAC
2014-06-19T00:00:00.000Z,Standard Class,Consumer,LOS ANGELES,California,UNITED STATES,US,West,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",917.9235,9,0.15,75.5936999999999,126.97,High,Matt Collister,West,CA-2014-112753,United States
2013-10-01T00:00:00.000Z,First Class,Home Office,ANSHAN,Liaoning,CHINA,APAC,North Asia,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",437.34,1,0.0,96.21,126.41,Critical,Shirley Daniels,North Asia,IN-2013-65068,APAC
2013-09-30T00:00:00.000Z,Standard Class,Consumer,ROME,Lazio,ITALY,EU,South,Technology,Copiers,"HP Fax Machine, Digital",1497.9,5,0.0,0.0,124.7,High,Chuck Magee,South,ES-2013-2339975,EU
2014-12-23T00:00:00.000Z,Same Day,Corporate,LECCE,Apulia,ITALY,EU,South,Technology,Copiers,"Canon Ink, High-Speed",290.7,2,0.0,93.0,123.83,Critical,Chuck Magee,South,ES-2014-1224526,EU
2014-02-24T00:00:00.000Z,Standard Class,Corporate,COURBEVOIE,Ile-de-France,FRANCE,EU,Central,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",896.886,2,0.1,219.186,122.64,Low,Anna Andreadi,Central,ES-2014-2933395,EU
2013-10-02T00:00:00.000Z,First Class,Consumer,CHANGCHUN,Jilin,CHINA,APAC,North Asia,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",412.8,2,0.0,132.06,122.47,High,Shirley Daniels,North Asia,IN-2013-17041,APAC
2013-11-06T00:00:00.000Z,First Class,Consumer,LONDON,England,UNITED KINGDOM,EU,North,Technology,Copiers,"Hewlett Ink, Color",675.54,5,0.1,29.94,122.15,High,Jack Lebron,North,ES-2013-2638509,EU
2014-08-20T00:00:00.000Z,Standard Class,Home Office,JILIN,Jilin,CHINA,APAC,North Asia,Technology,Phones,"Samsung Smart Phone, VoIP",2544.96,4,0.0,1068.84,119.73,Medium,Shirley Daniels,North Asia,IN-2014-73447,APAC
2013-09-27T00:00:00.000Z,Standard Class,Corporate,VERSAILLES,Ile-de-France,FRANCE,EU,Central,Technology,Accessories,"Belkin Router, USB",1553.76,6,0.0,730.26,119.71,Medium,Anna Andreadi,Central,ES-2013-5246151,EU
2013-12-12T00:00:00.000Z,Same Day,Consumer,ANAHEIM,California,UNITED STATES,US,West,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",363.92,5,0.2,-31.843,116.69,Critical,Matt Collister,West,CA-2013-165330,United States
2014-09-01T00:00:00.000Z,Second Class,Corporate,SPOKANE,Washington,UNITED STATES,US,West,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,569.568,2,0.2,7.11959999999991,115.19,High,Matt Collister,West,CA-2014-154074,United States
2014-06-16T00:00:00.000Z,Standard Class,Corporate,NASHVILLE,Tennessee,UNITED STATES,US,South,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),2239.936,8,0.2,223.9936,114.65,Medium,Chuck Magee,South,CA-2014-119284,United States
2013-07-15T00:00:00.000Z,First Class,Corporate,TUCSON,Arizona,UNITED STATES,US,West,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.864,8,0.2,38.0864,114.36,Critical,Matt Collister,West,CA-2013-136924,United States
2013-08-22T00:00:00.000Z,Standard Class,Consumer,TOKYO,Tokyo,JAPAN,APAC,North Asia,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",1428.3,3,0.0,314.19,114.14,Medium,Shirley Daniels,North Asia,IN-2013-17699,APAC
2013-12-19T00:00:00.000Z,Second Class,Home Office,BURGOS,Castile and León,SPAIN,EU,South,Office Supplies,Storage,"Smead File Cart, Blue",573.615,5,0.1,-57.435,113.7,Critical,Chuck Magee,South,IT-2013-4354136,EU
